,job_title,job_type,experience_level,location,salary_currency,salary
55,Data scientist,Full Time,Senior,Santiago,USD,68000
57,Data scientist,Full Time,Senior,Nairobi,USD,68000
60,Data scientist,Full Time,Mid,Luxembourg,USD,40000
61,Data scientist,Full Time,Senior,San Francisco OR Remote US Canada,USD,68000
62,Data scientist,Full Time,Senior,Paris,USD,68000
63,Data scientist,Full Time,Mid,Lyon,USD,40000
64,Data scientist,Full Time,Senior,Montreal,USD,56000
65,Data scientist,Full Time,Senior,Remote,USD,68000
66,Data scientist,Full Time,Entry,Princeton,USD,74000
67,Data scientist,Full Time,Mid,California,USD,40000
68,Data scientist,Full Time,Senior,Athens,USD,68000
69,Data scientist,Internship,Senior,London,USD,56000
70,Data scientist,Full Time,Entry,Charenton-Le-Pont,USD,36000
72,Data scientist,Full Time,Senior,San Francisco,USD,68000
73,Data scientist,Full Time,Senior,Aberdeen,USD,68000
75,Data scientist,Full Time,Mid,Brampton,USD,40000
78,Data scientist,Full Time,Senior,Salt Lake City,USD,68000
79,Data scientist,Full Time,Mid,Munich,USD,40000
80,Data scientist,Full Time,Mid,Oslo,USD,40000
81,Data scientist,Full Time,Senior,Basel,USD,68000
82,Data scientist,Full Time,Mid,Düsseldorf,USD,40000
83,Data scientist,Full Time,Entry,Paris,USD,36000
84,Data scientist,Full Time,Senior,Madrid,EUR,36000
85,Data scientist,Full Time,Mid,Austin,USD,40000
86,Data scientist,Full Time,Mid,Dallas,USD,40000
88,Data scientist,Full Time,Senior,Warsaw,USD,120000
89,Data scientist,Full Time,Mid,Houston,USD,40000
90,Data scientist,Full Time,Senior,Hyderabad,USD,68000
92,Data scientist,Full Time,Senior,Sofia,USD,68000
93,Data scientist,Full Time,Senior,Boston,USD,110000
94,Data scientist,Full Time,Senior,Paris,USD,68000
95,Data scientist,Full Time,Senior,Zurich,USD,68000
96,Data scientist,Full Time,Senior,London,USD,68000
97,Data scientist,Full Time,Senior,London,USD,68000
98,Data scientist,Full Time,Senior,New York City,USD,81000
99,Data scientist,Full Time,Entry,Palaiseau,USD,36000
100,Data scientist,Full Time,Entry,Burnaby,USD,36000
102,Data scientist,Full Time,Senior,Lisbon,USD,68000
103,Data scientist,Full Time,Senior,Tel Aviv-Yafo,USD,68000
104,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,40000
105,Data scientist,Full Time,Senior,United States,USD,152000
106,Data scientist,Full Time,Mid,Toronto,USD,40000
107,Data scientist,Full Time,Senior,Indianapolis,USD,68000
109,Data scientist,Full Time,Mid,Athens,USD,51000
111,Data scientist,Full Time,Mid,New York City,USD,40000
112,Data scientist,Full Time,Senior,New York,USD,95000
113,Data scientist,Full Time,Senior,London,USD,68000
115,Data scientist,Full Time,Mid,Dayton,USD,40000
116,Data scientist,Full Time,Senior,Seoul,USD,68000
117,Data scientist,Full Time,Entry,Glasgow,USD,36000
118,Data scientist,Full Time,Mid,Emeryville,USD,135000
120,Data scientist,Full Time,Entry,Massy - France,USD,36000
121,Data scientist,Full Time,Senior,San Francisco,USD,68000
123,Data scientist,Full Time,Mid,Paris,EUR,50000
125,Data scientist,Full Time,Senior,Belo Horizonte,USD,68000
127,Data scientist,Full Time,Senior,Oakville,USD,68000
130,Data scientist,Full Time,Senior,Midrand,USD,68000
131,Data scientist,Full Time,Mid,Roppongi,USD,40000
132,Data scientist,Full Time,Senior,Solna,USD,68000
133,Data scientist,Full Time,Senior,Santa Clara,USD,68000
134,Data scientist,Full Time,Mid,Emeryville,USD,120000
137,Data scientist,Full Time,Senior,Boston,USD,68000
139,Data scientist,Full Time,Entry,Calabasas,USD,120000
141,Data scientist,Full Time,Senior,Bangkok,USD,68000
142,Data scientist,Full Time,Senior,London,USD,68000
143,Data scientist,Full Time,Mid,Ahmedabad,USD,40000
144,Data scientist,Full Time,Senior,Lisbon,USD,68000
145,Data scientist,Full Time,Entry,Roppongi,USD,56000
146,Data scientist,Full Time,Senior,Remote,USD,68000
147,Data scientist,Full Time,Senior,Brooklyn,USD,196000
148,Data scientist,Full Time,Senior,Dallas,USD,68000
149,Data scientist,Full Time,Senior,New York City,USD,125000
150,Data scientist,Full Time,Entry,Lisboa,USD,36000
151,Data scientist,Full Time,Senior,Markham,USD,68000
152,Data scientist,Full Time,Senior,Athina,USD,68000
153,Data scientist,Full Time,Mid,London,USD,40000
154,Data scientist,Full Time,Mid,Berlin,USD,40000
155,Data scientist,Full Time,Senior,Chicago,USD,68000
156,Data scientist,Full Time,Entry,Norfolk,USD,36000
157,Data scientist,Full Time,Senior,Boston,USD,68000
158,Data scientist,Full Time,Senior,Remote (DC),USD,68000
159,Data scientist,Full Time,Senior,Bengaluru,USD,68000
160,Data scientist,Full Time,Senior,Tel Aviv-Yafo,USD,68000
161,Data scientist,Full Time,Mid,Houston,USD,40000
162,Data scientist,Full Time,Senior,Seattle,USD,68000
163,Data scientist,Full Time,Senior,Norfolk,USD,68000
164,Data scientist,Full Time,Senior,Belfast,USD,68000
165,Data scientist,Full Time,Senior,Toronto,USD,68000
166,Data scientist,Full Time,Mid,Toronto,USD,40000
167,Data scientist,Full Time,Senior,Remote - United States,USD,68000
168,Data scientist,Full Time,Entry,Toronto,USD,36000
169,Data scientist,Full Time,Senior,Tampa,USD,68000
170,Data scientist,Full Time,Senior,Berlin,USD,68000
171,Data scientist,Full Time,Mid,Düsseldorf,USD,40000
172,Data scientist,Full Time,Senior,Düsseldorf,USD,68000
174,Data scientist,Full Time,Entry,Amsterdam,USD,36000
175,Data scientist,Full Time,Senior,Amsterdam,USD,68000
177,Data scientist,Full Time,Mid,Munich,USD,40000
178,Data scientist,Full Time,Mid,Lyon,USD,51000
179,Data scientist,Full Time,Senior,Basel,USD,68000
180,Data scientist,Full Time,Mid,Oslo,USD,40000
181,Data scientist,Full Time,Senior,Longueuil,USD,68000
182,Data scientist,Full Time,Senior,Glattbrugg,USD,56000
183,Data scientist,Full Time,Senior,New York City,USD,70000
184,Data scientist,Full Time,Senior,Atlanta,USD,120000
185,Data scientist,Full Time,Senior,Toronto,USD,68000
186,Data scientist,Full Time,Mid,Barcelona,USD,40000
187,Data scientist,Full Time,Mid,London,USD,51000
188,Data scientist,Full Time,Senior,Madrid,EUR,36000
189,Data scientist,Full Time,Mid,Abu Dhabi,USD,51000
190,Data scientist,Full Time,Mid,Berlin,USD,40000
191,Data scientist,Full Time,Senior,Fort Bragg,USD,68000
192,Data scientist,Full Time,Senior,Remote - US,USD,68000
193,Data scientist,Full Time,Senior,San Francisco,USD,129000
194,Data scientist,Full Time,Mid,Singapore,USD,51000
195,Data scientist,Full Time,Senior,Toronto,USD,68000
197,Data scientist,Full Time,Senior,Berlin,USD,120000
198,Data scientist,Full Time,Mid,London,USD,40000
199,Data scientist,Full Time,Mid,Brampton,USD,40000
200,Data scientist,Full Time,Senior,UK,USD,68000
201,Data scientist,Full Time,Senior,Aarhus,USD,68000
203,Data scientist,Full Time,Senior,Canada,USD,68000
205,Data scientist,Full Time,Mid,Remote,USD,115000
206,Data scientist,Full Time,Senior,Berlin,USD,120000
207,Data scientist,Full Time,Senior,Redwood City,USD,68000
208,Data scientist,Full Time,Senior,Berlin,USD,68000
209,Data scientist,Full Time,Mid,Paris,USD,40000
210,Data scientist,Full Time,Entry,Burnaby,USD,36000
212,Data scientist,Full Time,Senior,Remote - United States,USD,56000
213,Data scientist,Full Time,Senior,Remote - US,USD,68000
215,Data scientist,Full Time,Senior,India,USD,68000
216,Data scientist,Full Time,Senior,Remote,USD,68000
217,Data scientist,Full Time,Senior,Heredia,USD,68000
218,Data scientist,Full Time,Senior,Jealott's Hill,USD,68000
219,Data scientist,Full Time,Mid,Mountain View,USD,90000
220,Data scientist,Full Time,Senior,Miami - will also consider remote in …,USD,68000
221,Data scientist,Full Time,Senior,Porto,USD,68000
222,Data scientist,Full Time,Senior,Tel Aviv,USD,68000
223,Data scientist,Full Time,Mid,West Jakarta,USD,40000
224,Data scientist,Internship,Entry,Paris,USD,36000
225,Data scientist,Full Time,Entry,Montreal,USD,36000
226,Data scientist,Full Time,Mid,Berlin,EUR,58000
228,Data scientist,Internship,Mid,United States - Remote,USD,62000
231,Data scientist,Full Time,Senior,Toronto,USD,68000
233,Data scientist,Full Time,Senior,Remote,USD,132000
234,Data scientist,Full Time,Entry,North Reading,USD,56000
236,Data scientist,Full Time,Senior,London,USD,68000
237,Data scientist,Full Time,Entry,Sunnyvale,USD,36000
238,Data scientist,Full Time,Senior,London,USD,68000
239,Data scientist,Full Time,Mid,Dallas,USD,40000
240,Data scientist,Full Time,Senior,Boston,USD,68000
241,Data scientist,Full Time,Mid,Suitland-Silver Hill,USD,51000
242,Data scientist,Full Time,Entry,Paris,USD,36000
243,Data scientist,Full Time,Senior,Chicago,USD,68000
244,Data scientist,Full Time,Senior,London,USD,68000
245,Data scientist,Full Time,Senior,Hamburg,USD,68000
246,Data scientist,Full Time,Senior,Remote,USD,68000
247,Data scientist,Full Time,Senior,London,USD,68000
248,Data scientist,Full Time,Mid,Bang Kapi District,USD,40000
249,Data scientist,Full Time,Senior,London,USD,68000
250,Data scientist,Full Time,Senior,Remote job,USD,68000
251,Data scientist,Full Time,Senior,Tel Aviv,USD,68000
252,Data scientist,Full Time,Senior,Remote job,USD,68000
253,Data scientist,Full Time,Senior,Amsterdam,USD,120000
254,Data scientist,Full Time,Mid,København,USD,40000
255,Data scientist,Full Time,Senior,Cincinnati,USD,68000
256,Data scientist,Full Time,Senior,Dallas,USD,68000
257,Data scientist,Full Time,Senior,Singapore,USD,56000
258,Data scientist,Full Time,Senior,Stockholm,USD,68000
259,Data scientist,Full Time,Senior,Longueuil,USD,68000
260,Data scientist,Full Time,Senior,Renningen,USD,56000
261,Data scientist,Full Time,Entry,Paris,USD,36000
262,Data scientist,Full Time,Entry,Paris,USD,36000
263,Data scientist,Full Time,Senior,New York City,USD,120000
264,Data scientist,Full Time,Senior,Berlin,USD,68000
265,Data scientist,Full Time,Senior,Atlanta,USD,68000
266,Data scientist,Full Time,Senior,Bangkok,USD,68000
268,Data scientist,Full Time,Senior,Bangkok,USD,63000
269,Data scientist,Full Time,Senior,USA (remote),USD,68000
270,Data scientist,Full Time,Senior,New York,USD,145000
271,Data scientist,Full Time,Senior,New York City - Boston,USD,68000
272,Data scientist,Full Time,Mid,New York City,USD,40000
273,Data scientist,Full Time,Mid,Bangkok,USD,51000
274,Data scientist,Full Time,Mid,Brampton,USD,40000
275,Data scientist,Full Time,Senior,Seattle,USD,56000
276,Data scientist,Full Time,Mid,Hong Kong,USD,40000
277,Data scientist,Full Time,Senior,San Francisco,USD,129000
279,Data scientist,Full Time,Mid,Emeryville,USD,120000
281,Data scientist,Full Time,Entry,Berlin,USD,36000
282,Data scientist,Full Time,Senior,San Mateo,USD,68000
284,Data scientist,Full Time,Senior,Santa Clara,USD,68000
285,Data scientist,Full Time,Mid,Berlin,USD,40000
286,Data scientist,Full Time,Mid,Málaga,USD,40000
287,Data scientist,Full Time,Senior,Bangkok,USD,63000
289,Data scientist,Full Time,Senior,Madrid,USD,68000
292,Data scientist,Full Time,Mid,France - Remote,USD,40000
293,Data scientist,Full Time,Senior,Herndon,USD,122000
295,Data scientist,Full Time,Senior,Madrid,EUR,36000
296,Data scientist,Full Time,Mid,Porto,USD,40000
297,Data scientist,Full Time,Senior,Toronto,USD,120000
299,Data scientist,Full Time,Mid,Brussels,USD,40000
300,Data scientist,Full Time,Mid,Spain - Remote,USD,40000
301,Data scientist,Full Time,Senior,Helsinki,USD,68000
302,Data scientist,Full Time,Mid,Fort Belvoir,USD,40000
303,Data scientist,Internship,Senior,San Jose,USD,56000
305,Data scientist,Full Time,Mid,London,USD,40000
307,Data scientist,Full Time,Senior,San Francisco,USD,68000
308,Data scientist,Full Time,Mid,Utrecht,USD,40000
309,Data scientist,Full Time,Mid,Ireland - Remote,USD,40000
310,Data scientist,Full Time,Entry,Sunnyvale,USD,36000
311,Data scientist,Full Time,Mid,Dubai,USD,40000
314,Data scientist,Internship,Senior,Asia,USD,68000
315,Data scientist,Full Time,Senior,Ann Arbor,USD,68000
317,Data scientist,Full Time,Senior,New York City; San Francisco,USD,107000
318,Data scientist,Full Time,Senior,Remote,USD,68000
319,Data scientist,Full Time,Senior,Washington DC - will also consider remote …,USD,68000
321,Data scientist,Full Time,Senior,Canada,USD,68000
322,Data scientist,Full Time,Senior,Dubai,USD,68000
324,Data scientist,Full Time,Mid,Warsaw,USD,40000
325,Data scientist,Full Time,Mid,Lüneburg,USD,40000
326,Data scientist,Full Time,Entry,Saint-Denis,USD,36000
327,Data scientist,Full Time,Mid,Cambridge,USD,30000
328,Data scientist,Full Time,Mid,England,USD,40000
329,Data scientist,Full Time,Senior,Bengaluru,USD,68000
331,Data scientist,Full Time,Senior,Baar,USD,68000
332,Data scientist,Full Time,Senior,Indianapolis,USD,68000
333,Data scientist,Full Time,Senior,Ottawa,USD,68000
334,Data scientist,Full Time,Senior,Palo Alto,USD,56000
337,Data scientist,Full Time,Senior,Flexible,USD,68000
338,Data scientist,Full Time,Senior,Santiago de Querétaro,USD,68000
339,Data scientist,Full Time,Mid,London,USD,40000
340,Data scientist,Full Time,Entry,Remote,USD,36000
341,Data scientist,Full Time,Senior,New York City,USD,81000
342,Data scientist,Full Time,Senior,Kraków,USD,68000
343,Data scientist,Full Time,Mid,United States - Remote,USD,40000
345,Data scientist,Internship,Entry,Paris,USD,36000
347,Data scientist,Full Time,Senior,Montreal,USD,68000
348,Data scientist,Full Time,Mid,Roppongi,USD,62000
349,Data scientist,Full Time,Senior,Valencia,USD,68000
351,Data scientist,Full Time,Senior,Berlin,USD,68000
352,Data scientist,Full Time,Mid,San Diego,USD,40000
353,Data scientist,Full Time,Senior,Berlin,USD,68000
354,Data scientist,Full Time,Senior,Remote,USD,68000
356,Data scientist,Full Time,Mid,Arlington,USD,40000
357,Data scientist,Full Time,Senior,San Francisco,USD,129000
358,Data scientist,Full Time,Senior,Brooklyn,USD,184000
359,Data scientist,Full Time,Mid,Milan,USD,40000
360,Data scientist,Full Time,Mid,Toronto,USD,40000
361,Data scientist,Internship,Mid,Bengaluru,USD,62000
362,Data scientist,Full Time,Senior,Enkhuizen,USD,68000
363,Data scientist,Full Time,Senior,Berlin,USD,68000
364,Data scientist,Full Time,Senior,Barcelona,USD,68000
365,Data scientist,Full Time,Senior,Brooklyn,USD,104000
366,Data scientist,Full Time,Senior,Berlin,USD,68000
367,Data scientist,Full Time,Senior,Madrid,USD,56000
368,Data scientist,Full Time,Entry,Vienna,USD,36000
369,Data scientist,Full Time,Senior,Brooklyn,USD,130000
370,Data scientist,Full Time,Mid,Spain - Remote,USD,40000
371,Data scientist,Full Time,Mid,Dallas,USD,40000
372,Data scientist,Full Time,Senior,Mountain View,USD,68000
373,Data scientist,Full Time,Senior,Seattle,USD,68000
374,Data scientist,Full Time,Mid,Bordeaux,USD,40000
375,Data scientist,Full Time,Senior,Tel Aviv-Yafo,USD,68000
376,Data scientist,Full Time,Mid,Roppongi,USD,62000
377,Data scientist,Full Time,Senior,Warsaw,USD,68000
379,Data scientist,Full Time,Senior,Irving,USD,68000
381,Data scientist,Full Time,Senior,Warsaw,USD,56000
382,Data scientist,Full Time,Mid,Chelmsford,USD,87000
383,Data scientist,Full Time,Mid,Paris,USD,40000
384,Data scientist,Full Time,Senior,Dallas,USD,68000
385,Data scientist,Internship,Senior,Chicago,USD,68000
386,Data scientist,Full Time,Senior,Mountain View,USD,56000
387,Data scientist,Full Time,Senior,Berlin,USD,68000
388,Data scientist,Internship,Senior,United States,USD,68000
389,Data scientist,Full Time,Senior,Palo Alto,USD,68000
391,Data scientist,Full Time,Mid,Malmö,USD,40000
392,Data scientist,Full Time,Mid,Bengaluru,USD,38000
393,Data scientist,Full Time,Mid,London,USD,38000
394,Data scientist,Full Time,Senior,Hyderabad,USD,68000
395,Data scientist,Full Time,Senior,Bengaluru,USD,68000
397,Data scientist,Full Time,Senior,Berlin,USD,68000
398,Data scientist,Full Time,Senior,San Francisco,USD,68000
401,Data scientist,Full Time,Senior,Cape Town,USD,68000
402,Data scientist,Full Time,Senior,London,USD,68000
405,Data scientist,Full Time,Entry,Belgrade,USD,36000
407,Data scientist,Full Time,Senior,Chantilly,USD,68000
408,Data scientist,Full Time,Senior,Irving,USD,68000
410,Data scientist,Full Time,Senior,Brooklyn,USD,196000
411,Data scientist,Full Time,Mid,Málaga,USD,38000
412,Data scientist,Full Time,Senior,Brooklyn,USD,184000
413,Data scientist,Full Time,Mid,Bühl,USD,38000
415,Data scientist,Full Time,Senior,Mountain View,USD,68000
416,Data scientist,Full Time,Senior,Remote or San Francisco HQ,USD,196000
417,Data scientist,Full Time,Senior,Oakville,USD,68000
418,Data scientist,Full Time,Senior,Chennai,USD,68000
419,Data scientist,Full Time,Mid,Houston,USD,38000
420,Data scientist,Full Time,Senior,New York City,USD,68000
421,Data scientist,Full Time,Senior,Remote (within United States),USD,68000
422,Data scientist,Full Time,Senior,Los Gatos,USD,56000
423,Data scientist,Full Time,Mid,Houston,USD,38000
424,Data scientist,Full Time,Senior,Boston,USD,127000
425,Data scientist,Full Time,Senior,Jealott's Hill,USD,56000
426,Data scientist,Full Time,Mid,Greenville,USD,38000
427,Data scientist,Full Time,Senior,San Jose,USD,56000
428,Data scientist,Full Time,Senior,San Diego,USD,68000
429,Data scientist,Full Time,Mid,Austin,USD,38000
432,Data scientist,Full Time,Senior,Seoul,USD,68000
433,Data scientist,Full Time,Senior,San Francisco,USD,68000
436,Data scientist,Full Time,Mid,Lüneburg,USD,38000
440,Data scientist,Full Time,Senior,London,USD,68000
441,Data scientist,Full Time,Senior,Brooklyn,USD,184000
442,Data scientist,Full Time,Senior,San Francisco,USD,129000
443,Data scientist,Full Time,Senior,Austin,USD,68000
444,Data scientist,Full Time,Senior,Madrid,EUR,36000
445,Data scientist,Full Time,Senior,Berlin,USD,68000
446,Data scientist,Full Time,Entry,Saint-Denis,USD,36000
448,Data scientist,Full Time,Senior,Philadelphia,USD,129000
449,Data scientist,Full Time,Senior,Morrisville,USD,185000
450,Data scientist,Full Time,Senior,U.S. Remote,USD,68000
452,Data scientist,Full Time,Senior,Sunnyvale,USD,56000
453,Data scientist,Full Time,Senior,San Francisco,USD,68000
454,Data scientist,Full Time,Entry,Arlington,USD,36000
455,Data scientist,Full Time,Senior,Lexington,USD,68000
456,Data scientist,Full Time,Senior,Sunnyvale,USD,56000
457,Data scientist,Full Time,Senior,London,USD,68000
459,Data scientist,Full Time,Senior,Remote (California,USD,135000
460,Data scientist,Full Time,Mid,Düsseldorf,USD,38000
463,Data scientist,Full Time,Senior,United States,USD,93000
464,Data scientist,Full Time,Mid,Homestead,USD,38000
465,Data scientist,Full Time,Entry,Bourdeaux,USD,36000
467,Data scientist,Full Time,Senior,Boston,USD,129000
469,Data scientist,Full Time,Senior,London,USD,68000
470,Data scientist,Full Time,Senior,Bangkok,USD,46000
471,Data scientist,Internship,Entry,Santa Clara,USD,36000
472,Data scientist,Full Time,Senior,Santa Clara,USD,68000
473,Data scientist,Full Time,Mid,London,USD,38000
475,Data scientist,Full Time,Senior,Taipei,USD,68000
476,Data scientist,Full Time,Senior,Paris or Remote from France,USD,68000
477,Data scientist,Full Time,Mid,Berlin,USD,38000
478,Data scientist,Full Time,Senior,Palo Alto,USD,56000
479,Data scientist,Full Time,Senior,San Francisco,USD,156000
480,Data scientist,Full Time,Senior,Dallas,USD,68000
481,Data scientist,Full Time,Senior,Helsinki,USD,68000
482,Data scientist,Full Time,Mid,Munich,USD,38000
483,Data scientist,Full Time,Senior,San Francisco,USD,129000
484,Data scientist,Full Time,Senior,Denver,USD,134000
489,Data scientist,Full Time,Senior,San Francisco,USD,172000
490,Data scientist,Full Time,Mid,Poznań,USD,38000
491,Data scientist,Full Time,Senior,Bangkok,USD,46000
493,Data scientist,Full Time,Mid,United Kingdom - Remote,USD,38000
494,Data scientist,Full Time,Mid,Bangkok,USD,51000
496,Data scientist,Full Time,Senior,Bengaluru,USD,68000
497,Data scientist,Full Time,Mid,South Jakarta,USD,38000
500,Data analyst,Full Time,Senior,Copenhagen,USD,62000
501,Data analyst,Full Time,Mid,Cluj,USD,51000
503,Data analyst,Full Time,Senior,Stuttgart,USD,62000
504,Data analyst,Full Time,Mid,Papendrecht,USD,51000
506,Data analyst,Full Time,Senior,Berlin,USD,63000
507,Data analyst,Full Time,Entry,Sarasota,USD,48000
509,Data analyst,Full Time,Senior,Jakarta,USD,63000
510,Data analyst,Full Time,Senior,Chicago,USD,63000
512,Data analyst,Full Time,Senior,Lexington,USD,63000
513,Data analyst,Full Time,Senior,Remote job,USD,63000
514,Data analyst,Full Time,Mid,Barcelona,USD,51000
515,Data analyst,Full Time,Mid,Bogotá,USD,45000
518,Data analyst,Full Time,Senior,United States,USD,76000
519,Data analyst,Full Time,Mid,Bracknell,USD,51000
521,Data analyst,Full Time,Senior,San Francisco,USD,140000
522,Data analyst,Full Time,Entry,London,USD,30000
523,Data analyst,Full Time,Senior,Remote,USD,63000
524,Data analyst,Full Time,Entry,Sandton,USD,30000
525,Data analyst,Full Time,Entry,Houston,USD,30000
526,Data analyst,Full Time,Senior,Dublin,USD,62000
527,Data analyst,Full Time,Mid,Bengaluru,USD,51000
529,Data analyst,Full Time,Senior,Washington,USD,81000
531,Data analyst,Full Time,Entry,Boston,USD,30000
532,Data analyst,Full Time,Senior,Atlanta,USD,110000
533,Data analyst,Full Time,Entry,Bogota,USD,30000
535,Data analyst,Full Time,Senior,London,USD,63000
536,Data analyst,Full Time,Mid,Boulogne-Billancourt,USD,51000
537,Data analyst,Full Time,Senior,Madrid,EUR,38000
539,Data analyst,Full Time,Executive,Kampala,USD,46000
540,Data analyst,Full Time,Mid,London,GBP,45000
543,Data analyst,Full Time,Senior,Boston,USD,63000
544,Data analyst,Full Time,Senior,Remote,USD,123000
547,Data analyst,Full Time,Senior,Somerville,USD,63000
549,Data analyst,Full Time,Senior,Kirkland,USD,63000
550,Data analyst,Full Time,Senior,Boston - Remote,USD,63000
551,Data analyst,Full Time,Senior,Munich,USD,62000
553,Data analyst,Full Time,Executive,Remote,USD,141000
555,Data analyst,Full Time,Senior,London,USD,63000
557,Data analyst,Internship,Senior,Tampa,USD,63000
561,Data analyst,Full Time,Senior,Washington,USD,81000
562,Data analyst,Full Time,Mid,Riga,USD,51000
564,Data analyst,Full Time,Entry,Mexico City,USD,30000
566,Data analyst,Full Time,Senior,East Windsor,USD,63000
567,Data analyst,Full Time,Senior,Remote- US,USD,100000
568,Data analyst,Full Time,Senior,Remote,USD,127000
569,Data analyst,Full Time,Senior,Brooklyn,USD,104000
570,Data analyst,Full Time,Senior,West Palm Beach,USD,63000
572,Data analyst,Full Time,Mid,Monterrey,USD,51000
574,Data analyst,Full Time,Senior,Remote- US,USD,225000
575,Data analyst,Full Time,Entry,Stuttgart,USD,30000
579,Data analyst,Full Time,Senior,Medellín,USD,63000
580,Data analyst,Full Time,Senior,Berlin,USD,63000
581,Data analyst,Full Time,Senior,Campinas,USD,63000
584,Data analyst,Full Time,Mid,London,USD,51000
585,Data analyst,Full Time,Mid,Charlotte,USD,51000
586,Data analyst,Full Time,Senior,Campinas,USD,63000
589,Data analyst,Full Time,Senior,Tel-Aviv,USD,63000
590,Data analyst,Full Time,Mid,Cape Town,USD,51000
591,Data analyst,Full Time,Senior,San Francisco,USD,104000
592,Data analyst,Full Time,Senior,Brazil - Remote,USD,63000
593,Data analyst,Full Time,Mid,Newbury,GBP,45000
596,Data analyst,Full Time,Entry,Boulogne-Billancourt,USD,30000
598,Data analyst,Full Time,Senior,Brazil,USD,63000
600,Data analyst,Full Time,Entry,Paris or Remote from France,USD,30000
603,Data analyst,Full Time,Senior,Remote job,USD,63000
604,Data analyst,Full Time,Mid,Brussels,USD,51000
606,Data analyst,Full Time,Mid,Stanford,USD,51000
608,Data analyst,Full Time,Mid,Sector 62,USD,51000
609,Data analyst,Full Time,Senior,Mount Laurel Township,USD,63000
610,Data analyst,Full Time,Senior,Manila,USD,63000
611,Data analyst,Full Time,Senior,Bangkok,USD,63000
612,Data analyst,Full Time,Senior,United States,USD,63000
613,Data analyst,Full Time,Senior,Stuttgart,USD,63000
615,Data analyst,Full Time,Mid,Denver,USD,51000
616,Data analyst,Full Time,Senior,London,USD,63000
619,Data analyst,Full Time,Senior,Sydney,USD,63000
620,Data analyst,Full Time,Entry,Barcelona,USD,30000
622,Data analyst,Full Time,Entry,Katowice,USD,30000
625,Data analyst,Full Time,Senior,Montreal,USD,63000
627,Data analyst,Full Time,Mid,London,USD,51000
628,Data analyst,Full Time,Senior,Remote job,USD,63000
629,Data analyst,Full Time,Senior,East Windsor,USD,63000
631,Data analyst,Full Time,Senior,São Paulo,USD,76000
632,Data analyst,Full Time,Senior,Iași,USD,63000
633,Data analyst,Full Time,Senior,Chantilly,USD,119000
635,Data analyst,Full Time,Senior,Makati,USD,63000
636,Data analyst,Full Time,Senior,Remote - United States,USD,63000
637,Data analyst,Full Time,Entry,Stuttgart,USD,30000
638,Data analyst,Full Time,Senior,Remote - United States,USD,63000
639,Data analyst,Full Time,Senior,London,USD,63000
640,Data analyst,Full Time,Senior,Raleigh,USD,63000
641,Data analyst,Full Time,Senior,Charenton-Le-Pont,USD,63000
642,Data analyst,Full Time,Mid,London,USD,51000
643,Data analyst,Full Time,Senior,Barcelona,USD,63000
